DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W,area_id
1965,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1966,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1967,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1968,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1969,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1970,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1971,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1972,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1973,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1974,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1975,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1976,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1977,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1978,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1979,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1980,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1981,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1982,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1983,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1984,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1985,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1986,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1987,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1988,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1989,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1990,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
